BlockTime,Miner0Proportion,Difficulty
228,200926082,0.82456,1.00000
229,201428633,0.82533,1.00000
230,203288917,0.82609,1.00000
231,203820329,0.82684,1.00000
232,204037408,0.82759,1.00000
233,204163726,0.82833,1.00000
234,205882966,0.82906,1.00000
236,208294609,0.82203,1.00000
238,210094940,0.81513,1.00000
240,212780111,0.80833,1.00000
242,215470854,0.80165,1.00000
243,215913586,0.80247,1.00000
245,219300642,0.80000,1.00000
246,220423596,0.80081,1.00000
247,221723739,0.80162,1.00000
249,223771719,0.79518,1.00000
251,226593062,0.79283,1.00000
252,227539557,0.79365,1.00000
253,228790087,0.79447,1.00000
257,232858619,0.78210,1.00000
258,232879628,0.78295,1.00000
259,233955399,0.78378,1.00000
260,234950375,0.78462,1.00000
261,235960647,0.78544,1.00000
262,236170443,0.78626,1.00000
263,236706033,0.78707,1.00000
265,238411873,0.78491,1.00000
266,238713983,0.78571,1.00000
267,238926933,0.78652,1.00000
268,239294906,0.78731,1.00000
269,240125027,0.78810,1.00000
270,240343347,0.78889,1.00000
271,242021827,0.78967,1.00000
272,242369127,0.79044,1.00000
273,243007194,0.79121,1.00000
275,245520233,0.78909,1.00000
276,247430538,0.78986,1.00000
277,248392942,0.79061,1.00000
278,250028904,0.79137,1.00000
279,250348104,0.79211,1.00000
280,252674779,0.79286,1.00000
281,253253219,0.79359,1.00000
282,255239326,0.79433,1.00000
283,257831796,0.79505,1.00000
284,258122517,0.79577,1.00000
286,260315362,0.79371,1.00000
289,264278779,0.78893,1.00000
290,264362611,0.78966,1.00000
291,264964435,0.79038,1.00000
292,265139994,0.79110,1.00000
293,265445203,0.79181,1.00000
294,265562591,0.79252,1.00000
295,266564629,0.79322,1.00000
296,268189301,0.79392,1.00000
297,268349280,0.79461,1.00000
298,270990424,0.79530,1.00000
299,271117644,0.79599,1.00000
300,271448057,0.79667,1.00000
301,273107713,0.79734,1.00000
302,273194090,0.79801,1.00000
303,274104731,0.79868,1.00000
304,274245496,0.79934,1.00000
305,274469457,0.80000,1.00000
306,275065781,0.80065,1.00000
308,278251012,0.79870,1.00000
311,282382171,0.79100,1.00000
312,282790069,0.79167,1.00000
313,284171591,0.79233,1.00000
314,285852682,0.79299,1.00000
315,286312125,0.79365,1.00000
316,286991122,0.79430,1.00000
317,286992766,0.79495,1.00000
318,287361817,0.79560,1.00000
320,289354959,0.79375,1.00000
321,289414269,0.79439,1.00000
322,289701895,0.79503,1.00000
323,290125753,0.79567,1.00000
325,293006732,0.79385,1.00000
327,294762130,0.79205,1.00000
328,295996164,0.79268,1.00000
329,296558729,0.79331,1.00000
330,296830568,0.79394,1.00000
331,297493496,0.79456,1.00000
333,299741504,0.79279,1.00000
334,300279126,0.79341,1.00000
335,300856657,0.79403,1.00000
336,301489490,0.79464,1.00000
337,302541150,0.79525,1.00000
338,303975530,0.79586,1.00000
339,304715450,0.79646,1.00000
340,304806192,0.79706,1.00000
341,305357325,0.79765,1.00000
342,306786685,0.79825,1.00000
343,307174465,0.79883,1.00000
344,308353702,0.79942,1.00000
345,309988937,0.80000,1.00000
346,310442166,0.80058,1.00000
348,312845226,0.79310,1.00000
349,313493123,0.79370,1.00000
350,315005928,0.79429,1.00000
351,315987370,0.79487,1.00000
352,317147481,0.79545,1.00000
357,323809119,0.78711,1.00000
359,326211373,0.78273,1.00000
360,327725896,0.77839,1.00000
362,328423015,0.77901,1.00000
363,329842169,0.77961,1.00000
365,332480103,0.77808,1.00000
366,333973800,0.77869,1.00000
367,334376478,0.77929,1.00000
368,334630451,0.77989,1.00000
369,334668312,0.78049,1.00000
