1,107220,1.00000,1.00000
2,823013,1.00000,1.00000
3,1121429,1.00000,1.00000
4,1338370,1.00000,1.00000
5,1436400,1.00000,1.00000
6,2344002,1.00000,1.00000
7,4717102,1.00000,1.00000
8,5535135,1.00000,1.00000
9,7782330,1.00000,1.00000
10,7949264,1.00000,1.00000
12,9652185,0.91667,1.00000
13,9728897,0.92308,1.00000
14,11719139,0.92857,1.00000
15,12590409,0.93333,1.00000
16,12590696,0.93750,1.00000
17,14256102,0.94118,1.00000
18,15224606,0.94444,1.00000
19,15366031,0.94737,1.00000
20,16894446,0.95000,1.00000
21,17566927,0.95238,1.00000
22,18897146,0.95455,1.00000
23,20049887,0.95652,1.00000
24,21862495,0.95833,1.00000
25,21916543,0.96000,1.00000
26,22548412,0.96154,1.00000
27,23238622,0.96296,1.00000
28,23428296,0.96429,1.00000
29,24888323,0.96552,1.00000
30,25595586,0.96667,1.00000
32,27437006,0.93750,1.00000
34,29802940,0.91176,1.00000
35,31216040,0.91429,1.00000
36,31359149,0.91667,1.00000
38,34258226,0.89474,1.00000
39,35969028,0.89744,1.00000
40,36923103,0.90000,1.00000
41,37201801,0.90244,1.00000
42,39030163,0.90476,1.00000
44,40643142,0.86364,1.00000
45,41970137,0.86667,1.00000
47,43581005,0.80851,1.00000
48,44300390,0.81250,1.00000
49,44836263,0.81633,1.00000
52,47285018,0.78846,1.00000
53,48253239,0.79245,1.00000
54,48683563,0.79630,1.00000
55,49099926,0.80000,1.00000
56,50090923,0.80357,1.00000
57,50092526,0.80702,1.00000
58,51392980,0.81034,1.00000
59,52303729,0.81356,1.00000
60,52454109,0.81667,1.00000
61,52478741,0.81967,1.00000
63,55122367,0.80952,1.00000
64,55428258,0.81250,1.00000
65,55493938,0.81538,1.00000
66,56419976,0.81818,1.00000
67,57350232,0.82090,1.00000
68,58841259,0.82353,1.00000
69,59297583,0.82609,1.00000
70,60815331,0.82857,1.00000
71,62945017,0.83099,1.00000
72,64338255,0.83333,1.00000
73,64919207,0.83562,1.00000
75,66324258,0.82667,1.00000
76,66489310,0.82895,1.00000
77,66896318,0.83117,1.00000
78,67597810,0.83333,1.00000
79,67897595,0.83544,1.00000
80,68664236,0.83750,1.00000
81,68815762,0.83951,1.00000
84,74355465,0.82143,1.00000
85,74934639,0.82353,1.00000
86,75186688,0.82558,1.00000
87,75237644,0.82759,1.00000
88,75467240,0.82955,1.00000
89,76081088,0.83146,1.00000
90,76302159,0.83333,1.00000
91,77084310,0.83516,1.00000
92,77193654,0.83696,1.00000
93,77586848,0.83871,1.00000
94,78120478,0.84043,1.00000
95,78581885,0.84211,1.00000
98,83401127,0.82653,1.00000
99,84039423,0.82828,1.00000
100,84493644,0.83000,1.00000
101,87051018,0.83168,1.00000
102,87478202,0.83333,1.00000
103,87496934,0.83495,1.00000
105,89869695,0.82857,1.00000
